site,status,trees_perha,basalArea_m2ha,qmd_cm,height_m,sfl_kgm2,cbd_kgm3,cbh_m,cfl_kgm2
Heil,pre,418,19.1,24.1,9.8,1.04,0.14,3.63,0.837
Heil,post,295,14.5,25,10.1,0.76,0.1,3.69,0.628
Unc,pre,504,30,27.5,22.1,1.2,0.15,4.35,2.653
Unc,post,314,17.6,16.7,25.5,1.06,0.08,4.14,1.674
Pike,pre,934,24.8,18.4,15.8,1.33,0.15,2.9,2.096
Pike,post,352,9.5,18.5,16.6,1.33,0.06,3.6,0.83
RedF,pre,516,14.1,18.7,14.2,1.16,0.08,2.6,0.918
RedF,post,181,9,19,15,0.61,0.05,3.4,0.61
Kaibab,pre,487,25.6,25.9,20.9,0.36,0.13,4.9,2.235
Kaibab,post,203,19.7,35.2,25.3,0.29,0.1,6.7,1.811
MessG,pre,685,22.7,20.5,14.9,0.41,0.14,3.5,1.619
MessG,post,269,10.6,22.4,16.6,0.62,0.06,3.6,0.81
Zuni,pre,327,19.3,27.4,14.3,0.24,0.09,3.83,0.914
Zuni,post,63,7.5,38.9,18.2,0.24,0.03,4.6,0.396
