SPCD,COMMON_NAME,Species,SPECIES_SYMBOL,STOCKING_SPGRPCD,FOREST_TYPE_SPGRPCD,SFTWD_HRDWD,JENKINS_SPGRPCD,JENKINS_TOTAL_B1,JENKINS_TOTAL_B2,JENKINS_STEM_WOOD_RATIO_B1,JENKINS_STEM_WOOD_RATIO_B2,JENKINS_STEM_BARK_RATIO_B1,JENKINS_STEM_BARK_RATIO_B2,JENKINS_FOLIAGE_RATIO_B1,JENKINS_FOLIAGE_RATIO_B2,JENKINS_ROOT_RATIO_B1,JENKINS_ROOT_RATIO_B2,JENKINS_SAPLING_ADJUSTMENT
931,sassafras,Sassafras albidum,SAAL5,29,93,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248
934,mountain-ash spp.,Sorbus spp.,SORBU,37,221,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
935,American mountain-ash,Sorbus americana,SOAM3,25,221,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
936,European mountain-ash,Sorbus aucuparia,SOAU,25,146,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
937,northern mountain-ash,Sorbus decora,SODE3,25,221,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
940,West Indian mahogany,Swietenia mahagoni,SWMA2,37,146,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
950,basswood spp.,Tilia spp.,TILIA,35,221,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.67171
951,American basswood,Tilia americana,TIAM,35,124,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.67171
952,white basswood,Tilia americana,TIAMH,35,124,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.67171
953,Carolina basswood,Tilia americana,TIAMC,35,124,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.67171
970,elm spp.,Ulmus spp.,ULMUS,36,221,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248
971,winged elm,Ulmus alata,ULAL,36,209,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248
972,American elm,Ulmus americana,ULAM,36,94,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248
973,cedar elm,Ulmus crassifolia,ULCR,36,209,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248
974,Siberian elm,Ulmus pumila,ULPU,36,146,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248
975,slippery elm,Ulmus rubra,ULRU,36,94,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248
976,September elm,Ulmus serotina,ULSE,36,101,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248
977,rock elm,Ulmus thomasii,ULTH,36,94,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.93185
981,California-laurel,Umbellularia californica,UMCA,29,141,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.96395
982,Joshua tree,Yucca brevifolia,YUBR,37,221,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
986,black-mangrove,Avicennia germinans,AVGE,37,149,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6651,Scotch attorney,Clusia rosea,CLRO,37,985,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6652,attorney,Clusia spp.,CLUSI,37,,H,8,,,,,,,,,,,
6653,deepwoods fern,Cnemidaria horrida,CNHO,37,980,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6655,treadsoftly,Cnidoscolus aconitifolius,CNAC,37,980,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6658,uvilla,Coccoloba costata,COCO8,37,980,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6660,whitewood,Coccoloba krugii,COKR,37,984,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6661,puckhout,Coccoloba microstachya,COMI,37,984,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6662,pale seagrape,Coccoloba pallida,COPA24,37,980,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6663,grandleaf seagrape,Coccoloba pubescens,COPU,37,985,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6664,uvera,Coccoloba pyrifolia,COPY,37,986,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6665,ortegon,Coccoloba rugosa,CORU4,37,980,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6666,uvero de monte,Coccoloba sintenisii,COSI2,37,985,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6668,Swartz's pigeonplum,Coccoloba swartzii,COSW,37,984,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6669,Bahama pigeonplum,Coccoloba tenuifolia,COTE9,37,980,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6670,seagrape,Coccoloba uvifera,COUV,37,984,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6671,false chiggergrape,Coccoloba venosa,COVE,37,985,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6673,Coccothrinax barbadensis,Coccothrinax barbadensis,COBA3,37,984,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6679,silk cottontree,Cochlospermum vitifolium,COVI,37,984,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6681,coconut palm,Cocos spp.,COCOS,37,,H,8,,,,,,,,,,,
6683,garden croton,Codiaeum variegatum,COVA3,37,980,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6684,Arabian coffee,Coffea arabica,COAR2,37,986,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6685,robusta coffee,Coffea robusta,CORO8,37,986,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6686,Coffea liberica,Coffea liberica,COLI8,37,986,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6687,coffee,Coffea spp.,COFFE,37,,H,8,,,,,,,,,,,
6688,Cojoba arborea,Cojoba arborea,COAR9,37,984,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6689,abata cola,Cola acuminata,COAC4,37,980,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6691,"uab, chuchab",Colona scabra,COSC13,37,,H,8,,,,,,,,,,,
6693,"greenheart, common snakebark",Colubrina arborescens,COAR3,37,984,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6694,Asian nakedwood,Colubrina asiatica,COAS3,37,,H,8,,,,,,,,,,,
6696,cherry laurel,Prunus laurocerasus,PRLA5,37,,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84477
6697,kauila,Colubrina oppositifolia,COOP,37,,H,8,,,,,,,,,,,
6699,nakedwood,Colubrina spp.,COLUB,37,,H,8,,,,,,,,,,,
6700,Urban's nakedwood,Colubrina verrucosa,COVE6,37,980,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6702,ochaol,Combretum tetralophum,COTE15,37,,H,8,,,,,,,,,,,
6703,Mao,Commersonia bartramia,COBA17,37,,H,8,,,,,,,,,,,
6705,poison ash,Comocladia dodonaea,CODO,37,984,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6706,carrasco,Comocladia glabra,COGL4,37,985,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6709,mangrove,Conocarpus spp.,CONOC,37,,H,8,,,,,,,,,,,
6710,Luquillo Mountain snailwood,Conostegia rufescens,CORU17,37,980,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6711,Consolea moniliformis,Consolea moniliformis,COMO8,37,980,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6712,Consolea rubescens,Consolea rubescens,CORU8,37,984,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6714,copaiba,Copaifera officinalis,COOF2,37,980,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
6716,forest mirrorplant,Coprosma foliosa,COFO2,37,,H,8,,,,,,,,,,,
6717,koi,Coprosma kauensis,COKA,37,,H,8,,,,,,,,,,,
6718,Oahu mirrorplant,Coprosma longifolia,COLO4,37,,H,8,,,,,,,,,,,
6719,alpine mirrorplant,Coprosma montana,COMO3,37,,H,8,,,,,,,,,,,
6720,Maui mirrorplant,Coprosma ochracea,COOC3,37,,H,8,,,,,,,,,,,
6721,pubescent mirrorplant,Coprosma pubens,COPU8,37,,H,8,,,,,,,,,,,
6722,woodland mirrorplant,Coprosma rhynchocarpa,CORH,37,,H,8,,,,,,,,,,,
6724,mirrorplant,Coprosma spp.,COPRO,37,,H,8,,,,,,,,,,,
6726,olena,Coprosma waimeae,COWA4,37,,H,8,,,,,,,,,,,
7355,thinleaf camasey,Henriettea membranifolia,HEME5,37,980,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
7357,jusillo,Henriettea squamulosum,HESQ,37,987,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
7359,ufa,Heritiera littoralis,HELI9,37,,H,8,,,,,,,,,,,
7360,ufa halemtano,Heritiera longipetiolata,HELO12,37,,H,8,,,,,,,,,,,
7362,Heritiera,Heritiera spp.,HERIT2,37,,H,8,,,,,,,,,,,
7363,pipi,Hernandia moerenhoutiana,HEMO13,37,,H,8,,,,,,,,,,,
7364,"pua, Chinese lantern tree",Hernandia nymphaeifolia,HENY,37,,H,8,,,,,,,,,,,
7365,Hernandia ovigera,Hernandia ovigera,HEOV4,37,,H,8,,,,,,,,,,,
7366,mago,Hernandia sonora,HESO,37,984,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
7367,Hernandia,Hernandia spp.,HERNA,37,,H,8,,,,,,,,,,,
7368,Hernandia labyrinthica,Hernandia labyrinthica,HELA27,37,,H,8,,,,,,,,,,,
7370,Lanai island-aster,Hesperomannia arborescens,HEAR9,37,,H,8,,,,,,,,,,,
7371,Maui island-aster,Hesperomannia arbuscula,HEAR10,37,,H,8,,,,,,,,,,,
7372,Kauai island-aster,Hesperomannia lydgatei,HELY,37,,H,8,,,,,,,,,,,
7373,island-aster,Hesperomannia spp.,HESPE8,37,,H,8,,,,,,,,,,,
7374,toyon,Heteromeles arbutifolia,HEAR5,37,,H,8,,,,,,,,,,,
7376,toyon,Heteromeles spp.,HETER5,37,,H,8,,,,,,,,,,,
7377,palma brava,Heterospathe elata,HEEL9,37,,H,8,,,,,,,,,,,
7381,para rubber tree,Hevea brasiliensis,HEBR8,37,,H,8,,,,,,,,,,,
7384,hau kuahiwi,Hibiscadelphus bombycinus,HIBO2,37,,H,8,,,,,,,,,,,
7385,lava hau kuahiwi,Hibiscadelphus crucibracteatus,HICR,37,,H,8,,,,,,,,,,,
7386,Kauai hau kuahiwi,Hibiscadelphus distans,HIDI,37,,H,8,,,,,,,,,,,
7387,Kilauea hau kuahiwi,Hibiscadelphus giffardianus,HIGI,37,,H,8,,,,,,,,,,,
7388,Hualalai hau kuahiwi,Hibiscadelphus hualalaiensis,HIHU,37,,H,8,,,,,,,,,,,
7389,hau kuahiwi,Hibiscadelphus puakuahiwi,HIPU2,37,,H,8,,,,,,,,,,,
7390,hibiscadelphus,Hibiscadelphus spp.,HIBIS,37,,H,8,,,,,,,,,,,
7391,Maui hau kuahiwi,Hibiscadelphus wilderianus,HIWI,37,,H,8,,,,,,,,,,,
7392,Woods hau kuahiwi,Hibiscadelphus woodii,HIWO,37,,H,8,,,,,,,,,,,
7393,white rosemallow,Hibiscus arnottianus,HIAR,37,,H,8,,,,,,,,,,,
7397,Brackenridges rosemallow,Hibiscus brackenridgei,HIBR,37,,H,8,,,,,,,,,,,
7401,lemonyellow rosemallow,Hibiscus calyphyllus,HICA6,37,,H,8,,,,,,,,,,,
7402,red Kauai rosemallow,Hibiscus clayi,HICL,37,,H,8,,,,,,,,,,,
7403,mahoe,Hibiscus elatus,HIEL,37,995,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
7404,red rosemallow,Hibiscus kokio,HIKO,37,,H,8,,,,,,,,,,,
7407,largeleaf rosemallow,Hibiscus macrophyllus,HIMA5,37,,H,8,,,,,,,,,,,
7408,Dixie rosemallow,Hibiscus mutabilis,HIMU3,37,,H,8,,,,,,,,,,,
7409,seaside mahoe,Hibiscus pernambucensis,HIPE3,37,980,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
7410,shoeblackplant,Hibiscus rosa-sinensis,HIRO3,37,985,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
7411,rosemallow,Hibiscus spp.,HIBIS2,37,,H,8,,,,,,,,,,,
7412,sea hibiscus,Hibiscus tiliaceus,HITI,37,980,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
7413,white Kauai rosemallow,Hibiscus waimeae,HIWA,37,,H,8,,,,,,,,,,,
7418,teta de burra cinarron,Hirtella rugosa,HIRU2,37,986,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
7420,pigeonberry,Hirtella triandra,HITR3,37,985,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
7422,white cogwood,Homalium racemosum,HORA,37,985,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
7424,Homalium whitmeeanum,Homalium whitmeeanum,HOWH,37,,H,8,,,,,,,,,,,
7427,"chemeklachel, eumail",Horsfieldia amklaal,HOAM2,37,,H,8,,,,,,,,,,,
7428,ersachel,Horsfieldia novoguineensis,HONO2,37,,H,8,,,,,,,,,,,
7429,Horsfieldia nunu,Horsfieldia nunu,HONU2,37,,H,8,,,,,,,,,,,
7430,chersachel,Horsfieldia palauensis,HOPA10,37,,H,8,,,,,,,,,,,
7431,Horsfieldia,Horsfieldia spp.,HORSF2,37,,H,8,,,,,,,,,,,
7433,sentrypalm,Howeia forsteriana,HOFO,37,990,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
7434,sandbox tree,Hura crepitans,HUCR,37,986,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
7438,cedro macho,Hyeronima clusioides,HYCL,37,985,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
7440,nightblooming cactus,Hylocereus spp.,HYLOC,37,,H,8,,,,,,,,,,,
7441,nightblooming cactus,Hylocereus undatus,HYUN3,37,,H,8,,,,,,,,,,,
7442,stinkingtoe,Hymenaea courbaril,HYCO,37,985,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
7445,inkwood,Hypelate trifoliata,HYTR,37,984,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
7446,limestone snakevine,Hyperbaena laurifolia,HYLA8,37,985,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
7448,Canary Island St. Johnswort,Hypericum canariense,HYCA11,37,,H,8,,,,,,,,,,,
7453,Hawaii holly,Ilex anomala,ILAN,37,,H,8,,,,,,,,,,,
7454,English holly,Ilex aquifolium,ILAQ80,37,,H,8,,,,,,,,,,,
8143,aquilon prieto,Phialanthus grandifolius,PHGR11,37,980,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
8144,candlewood,Phialanthus myrtilloides,PHMY,37,980,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
8146,Phaleria nisidai,Phaleria nisidai,PHNI11,37,,H,8,,,,,,,,,,,
8151,Canary Island date palm,Phoenix canariensis,PHCA13,37,,H,8,,,,,,,,,,,
8152,date palm,Phoenix dactylifera,PHDA4,37,,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.8326
8153,date palm,Phoenix spp.,PHOEN2,37,,H,8,,,,,,,,,,,
8154,date palm,Phoenix sylvestris,PHSY3,37,,H,8,,,,,,,,,,,
8155,Chinese  photinia,Photinia davidiana,PHDA5,37,,H,8,,,,,,,,,,,
8157,Tahitian gooseberry tree,Phyllanthus acidus,PHAC3,37,980,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
8159,pamakani mahu,Phyllanthus distichus,PHDI10,37,,H,8,,,,,,,,,,,
8160,gamo de costa,Phyllanthus juglandifolius,PHJU2,37,980,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
8162,Phyllanthus orbicularis,Phyllanthus orbicularis,PHOR10,37,980,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
8164,Florida bitterbush,Picramnia pentandra,PIPE,37,985,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
8167,bitterwood,Picrasma excelsa,PIEX,37,985,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
8169,fustic,Pictetia aculeata,PIAC,37,984,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
8171,aceitillo,Pilocarpus racemosus,PIRA3,37,985,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
8173,Royen's tree cactus,Pilosocereus royenii,PIRO6,37,984,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
8175,allspice,Pimenta dioica,PIDI2,37,985,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
8177,bayrumtree,Pimenta racemosa,PIRA,37,985,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
8178,bayrumtree,Pimenta racemosa,PIRAG,37,980,H,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
8180,Pimenta,Pimenta spp.,PIMEN,37,,H,8,,,,,,,,,,,
8181,"chebouch, demailei",Pinanga insignis,PIIN5,37,,H,8,,,,,,,,,,,
8182,Indian longleaf pine,Pinus roxburghii,PIRO2,37,,S,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031
8183,Caribbean pine,Pinus caribaea,PICA18,20,985,S,4,-2.5356,2.4349,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.45789
