monthlo,monthhi,timelo,timehi,shaded,aspect,slope,level,correction
1,1.99,8,9,n,E,hi,a,6
1,1.99,8,9,n,E,hi,b,4
1,1.99,8,9,n,E,hi,l,5
1,1.99,8,9,n,E,lo,a,6
1,1.99,8,9,n,E,lo,b,4
1,1.99,8,9,n,E,lo,l,5
1,1.99,8,9,n,N,hi,a,6
1,1.99,8,9,n,N,hi,b,4
1,1.99,8,9,n,N,hi,l,5
1,1.99,8,9,n,N,lo,a,6
1,1.99,8,9,n,N,lo,b,4
1,1.99,8,9,n,N,lo,l,5
1,1.99,8,9,n,S,hi,a,6
1,1.99,8,9,n,S,hi,b,4
1,1.99,8,9,n,S,hi,l,5
1,1.99,8,9,n,S,lo,a,6
1,1.99,8,9,n,S,lo,b,4
1,1.99,8,9,n,S,lo,l,5
1,1.99,8,9,n,W,hi,a,6
1,1.99,8,9,n,W,hi,b,4
1,1.99,8,9,n,W,hi,l,5
1,1.99,8,9,n,W,lo,a,6
1,1.99,8,9,n,W,lo,b,4
1,1.99,8,9,n,W,lo,l,5
1,1.99,8,9,y,E,hi,a,6
1,1.99,8,9,y,E,hi,b,4
1,1.99,8,9,y,E,hi,l,5
1,1.99,8,9,y,E,lo,a,6
1,1.99,8,9,y,E,lo,b,4
1,1.99,8,9,y,E,lo,l,5
1,1.99,8,9,y,N,hi,a,6
1,1.99,8,9,y,N,hi,b,4
1,1.99,8,9,y,N,hi,l,5
1,1.99,8,9,y,N,lo,a,6
1,1.99,8,9,y,N,lo,b,4
1,1.99,8,9,y,N,lo,l,5
1,1.99,8,9,y,S,hi,a,6
1,1.99,8,9,y,S,hi,b,4
1,1.99,8,9,y,S,hi,l,5
1,1.99,8,9,y,S,lo,a,6
1,1.99,8,9,y,S,lo,b,4
1,1.99,8,9,y,S,lo,l,5
1,1.99,8,9,y,W,hi,a,6
1,1.99,8,9,y,W,hi,b,4
1,1.99,8,9,y,W,hi,l,5
1,1.99,8,9,y,W,lo,a,6
1,1.99,8,9,y,W,lo,b,4
1,1.99,8,9,y,W,lo,l,5
1,1.99,10,11.99,n,E,hi,a,4
1,1.99,10,11.99,n,E,hi,b,2
1,1.99,10,11.99,n,E,hi,l,3
1,1.99,10,11.99,n,E,lo,a,4
1,1.99,10,11.99,n,E,lo,b,3
1,1.99,10,11.99,n,E,lo,l,4
1,1.99,10,11.99,n,N,hi,a,5
1,1.99,10,11.99,n,N,hi,b,4
1,1.99,10,11.99,n,N,hi,l,5
1,1.99,10,11.99,n,N,lo,a,4
1,1.99,10,11.99,n,N,lo,b,3
1,1.99,10,11.99,n,N,lo,l,4
1,1.99,10,11.99,n,S,hi,a,3
1,1.99,10,11.99,n,S,hi,b,2
1,1.99,10,11.99,n,S,hi,l,3
1,1.99,10,11.99,n,S,lo,a,5
1,1.99,10,11.99,n,S,lo,b,3
1,1.99,10,11.99,n,S,lo,l,4
1,1.99,10,11.99,n,W,hi,a,6
1,1.99,10,11.99,n,W,hi,b,4
1,1.99,10,11.99,n,W,hi,l,5
1,1.99,10,11.99,n,W,lo,a,5
1,1.99,10,11.99,n,W,lo,b,3
1,1.99,10,11.99,n,W,lo,l,4
1,1.99,10,11.99,y,E,hi,a,6
1,1.99,10,11.99,y,E,hi,b,4
1,1.99,10,11.99,y,E,hi,l,5
1,1.99,10,11.99,y,E,lo,a,6
1,1.99,10,11.99,y,E,lo,b,4
1,1.99,10,11.99,y,E,lo,l,5
1,1.99,10,11.99,y,N,hi,a,6
1,1.99,10,11.99,y,N,hi,b,4
1,1.99,10,11.99,y,N,hi,l,5
1,1.99,10,11.99,y,N,lo,a,6
1,1.99,10,11.99,y,N,lo,b,4
1,1.99,10,11.99,y,N,lo,l,5
1,1.99,10,11.99,y,S,hi,a,6
1,1.99,10,11.99,y,S,hi,b,4
1,1.99,10,11.99,y,S,hi,l,5
1,1.99,10,11.99,y,S,lo,a,6
1,1.99,10,11.99,y,S,lo,b,4
1,1.99,10,11.99,y,S,lo,l,5
1,1.99,10,11.99,y,W,hi,a,6
1,1.99,10,11.99,y,W,hi,b,4
1,1.99,10,11.99,y,W,hi,l,5
1,1.99,10,11.99,y,W,lo,a,6
1,1.99,10,11.99,y,W,lo,b,4
1,1.99,10,11.99,y,W,lo,l,5
1,1.99,12,13,n,E,hi,a,3
1,1.99,12,13,n,E,hi,b,2
1,1.99,12,13,n,E,hi,l,2
