dateTime,temp_c,rh,windSpeed_kmh
04/01/2017 00:35 MDT,-5,98,0
04/01/2017 01:35 MDT,-4.4,98,1.63
04/01/2017 02:35 MDT,-5.6,96,3.23
04/01/2017 03:35 MDT,-5.6,96,6.44
04/01/2017 04:35 MDT,-6.1,97,4.83
04/01/2017 05:35 MDT,-6.1,96,8.03
04/01/2017 06:35 MDT,-6.1,96,4.83
04/01/2017 07:35 MDT,-6.1,96,4.83
04/01/2017 08:35 MDT,-5.6,95,6.44
04/01/2017 09:35 MDT,-5,95,0
04/01/2017 10:35 MDT,-3.9,93,6.44
04/01/2017 11:35 MDT,-3.3,93,1.63
04/01/2017 12:35 MDT,-3.3,94,0
04/01/2017 13:35 MDT,-1.1,91,3.23
04/01/2017 14:35 MDT,-1.7,92,3.23
04/01/2017 15:35 MDT,0,90,3.23
04/01/2017 16:35 MDT,0,90,4.83
04/01/2017 17:35 MDT,-1.7,93,1.63
04/01/2017 18:35 MDT,-2.2,95,3.23
04/01/2017 19:35 MDT,-2.8,98,4.83
04/01/2017 20:35 MDT,-3.3,97,8.03
04/01/2017 21:35 MDT,-3.9,98,3.23
04/01/2017 22:35 MDT,-3.3,99,1.63
04/01/2017 23:35 MDT,-2.2,93,12.89
04/02/2017 00:35 MDT,-2.2,92,11.27
04/02/2017 01:35 MDT,-2.2,90,16.09
04/02/2017 02:35 MDT,-2.2,91,17.72
04/02/2017 03:35 MDT,-2.2,91,17.72
04/02/2017 04:35 MDT,-2.2,89,17.72
04/02/2017 05:35 MDT,-2.8,88,11.27
04/02/2017 06:35 MDT,-2.8,84,9.64
04/02/2017 07:35 MDT,-1.1,75,9.64
04/02/2017 08:35 MDT,3.3,66,3.23
04/02/2017 09:35 MDT,4.4,54,9.64
04/02/2017 10:35 MDT,5.6,51,8.03
04/02/2017 11:35 MDT,7.2,45,6.44
04/02/2017 12:35 MDT,7.8,51,6.44
04/02/2017 13:35 MDT,5.6,57,4.83
04/02/2017 14:35 MDT,6.7,49,4.83
04/02/2017 15:35 MDT,5.6,55,11.27
